chr,numb_exons,decon,gatk,grapes,gc_content,mappability,cnv_length,decon_qual,gatk_qual,grapes_qual,sample_correlation,is_autosomal,genes_encoded,encoded_type,true_positive_encoded
19,3,1,1,1,59.25168079508916,1.0,3420,39.9,256.16,0.976,0.8951921933570708,1,84,1,1
7,1,1,0,0,45.18518518518518,1.0,269,7.91,,,0.8951921933570708,1,25,1,1
7,1,1,0,0,21.363636363636363,1.0,219,2.73,,,0.8951921933570708,1,62,1,0
22,1,1,0,0,61.891117478510026,1.0,348,4.88,,,0.8951921933570708,1,70,1,0
10,4,1,1,1,40.69260817307692,1.0,13311,13.6,751.3,0.971,0.8667494944372087,1,101,0,1
15,1,1,1,1,38.04347826086957,1.0,275,3.43,372.7,0.766,0.8667494944372087,1,112,0,1
18,3,1,1,1,38.4723662764854,0.3229855216406251,40493,12.9,213.63,1.0,0.8667494944372087,1,120,1,1
6,3,1,0,0,28.41619125237707,0.4247233166666666,3680,4.38,,,0.8667494944372087,1,103,1,0
6,2,1,0,0,33.384191068599264,1.0,17040,3.82,,,0.8667494944372087,1,103,1,0
7,3,1,0,0,32.73135394347516,0.4134804117647059,19601,4.96,,,0.8667494944372087,1,104,1,0
7,1,1,0,0,30.46875,1.0,255,5.0,,,0.8667494944372087,1,126,1,1
14,8,1,0,0,37.00821880894637,0.3219992915628417,29687,15.9,,,0.8667494944372087,1,80,1,0
23,24,1,0,0,58.82840907519805,0.3264510688149465,72328,33.6,,,0.8667494944372087,0,68,0,0
4,2,0,0,1,37.24686595949856,1.0,4147,,,0.796,0.8667494944372087,1,58,1,0
7,1,0,0,1,63.20346320346321,0.5,230,,,0.828,0.8667494944372087,1,137,1,0
1,1,1,1,1,35.15625,1.0,255,14.4,81.44,0.597,0.8685667144313401,1,23,1,1
8,5,1,1,1,37.03742203742203,0.0850566684509804,48099,44.3,1113.94,0.937,0.8685667144313401,1,74,0,1
9,8,1,1,1,36.93139035301413,0.0758574826285347,45153,103.0,670.71,1.0,0.8685667144313401,1,51,1,1
12,1,1,1,0,39.0625,1.0,255,8.26,174.09,,0.8685667144313401,1,39,0,1
2,1,1,0,0,38.613861386138616,0.336111,403,5.05,,,0.8685667144313401,1,3,0,0
10,1,1,0,0,50.0,1.0,253,2.79,,,0.8685667144313401,1,22,0,0
12,1,1,0,0,35.07462686567165,1.0,267,2.64,,,0.8685667144313401,1,26,1,0
1,1,1,1,1,34.154929577464785,1.0,283,14.7,36.82,0.697,0.8376143325135473,1,23,1,1
3,3,1,1,1,42.00506085070491,0.6008771052631579,8298,25.8,371.78,0.961,0.8376143325135473,1,56,0,1
7,1,1,1,1,63.10344827586207,0.8,579,13.1,401.9,0.518,0.8376143325135473,1,97,0,0
7,1,1,1,0,55.00000000000001,1.0,219,9.68,75.16,,0.8376143325135473,1,105,0,1
9,7,1,1,1,34.713578051568646,0.3565731401219513,23618,95.4,449.64,1.0,0.8376143325135473,1,51,1,1
22,1,1,0,0,61.891117478510026,1.0,348,4.3,,,0.8376143325135473,1,70,0,0
6,3,1,1,1,42.003652491521,1.0,3832,52.4,192.11,1.0,0.8704982396639817,1,34,1,1
7,1,1,1,1,38.18181818181819,1.0,219,17.8,38.5,0.201,0.8704982396639817,1,25,1,1
10,7,1,1,1,56.31550191228332,0.4201389166666667,20132,108.0,1224.28,0.999,0.8704982396639817,1,29,0,1
11,1,1,1,1,39.43089430894309,1.0,245,13.8,108.21,0.969,0.8704982396639817,1,20,0,1
2,1,1,0,0,38.613861386138616,0.336111,403,3.0,,,0.8704982396639817,1,3,0,0
6,1,1,0,0,41.66666666666667,1.0,251,2.46,,,0.8704982396639817,1,96,1,0
1,3,1,1,1,44.02668926074984,1.0,9441,8.35,222.22,0.956,0.8939781174065063,1,93,0,1
3,6,1,1,1,42.38165207947358,0.2164691396428571,15652,15.4,121.71,1.0,0.8939781174065063,1,113,1,1
7,1,1,1,1,58.409090909090914,1.0,439,2.69,63.53,0.538,0.8939781174065063,1,105,1,1
8,1,1,1,1,43.2,1.0,249,3.29,129.61,0.964,0.8939781174065063,1,74,0,1
23,119,1,0,0,38.07684707028962,0.1926618223395585,122509549,279.0,,,0.8939781174065063,0,21,1,0
4,4,1,1,1,43.31508991399531,0.3626724288620689,6394,48.2,1084.52,1.0,0.8650022500340425,1,107,0,1
6,1,1,1,1,38.93129770992366,1.0,261,13.8,78.41,0.548,0.8650022500340425,1,96,1,1
17,5,1,1,1,64.65816917728853,1.0,2588,44.5,220.23,1.0,0.8650022500340425,1,12,1,1
1,1,1,0,0,42.62295081967213,1.0,243,5.32,,,0.8650022500340425,1,42,0,0
2,1,1,0,0,75.24271844660194,1.0,411,7.88,,,0.8650022500340425,1,64,0,1
3,1,1,0,0,48.37662337662338,1.0,307,4.44,,,0.8650022500340425,1,55,0,0
4,7,1,0,0,39.9817415119767,0.4316060443090908,23002,-88.2,,,0.8650022500340425,1,107,1,0
6,3,1,0,0,32.50790305584827,0.7222221666666666,20877,16.8,,,0.8650022500340425,1,103,0,0
18,3,1,0,0,36.67424990342104,0.6042467958333333,23296,8.14,,,0.8650022500340425,1,120,0,0
7,4,1,1,1,34.019024140657706,0.2762144601810346,85995,43.8,465.14,0.987,0.8473490652195288,1,104,0,1
10,1,1,1,0,42.5531914893617,1.0,281,8.96,89.86,,0.8473490652195288,1,125,0,1
10,6,1,1,1,47.26635806330539,0.3639075622222222,23978,64.9,385.65,1.0,0.8473490652195288,1,125,1,1
19,1,1,1,1,67.96116504854369,0.3166667999999999,514,19.3,55.37,0.755,0.8473490652195288,1,102,1,1
7,7,1,1,1,61.90973128098095,0.8,7665,74.9,3076.53,0.964,0.8462169924168591,1,97,0,1
10,1,1,1,1,42.5531914893617,1.0,281,9.44,29.19,0.332,0.8462169924168591,1,125,1,1
18,3,1,1,1,41.164715957750495,1.0,3502,26.8,205.89,0.996,0.8462169924168591,1,94,1,1
23,1,1,1,1,38.06646525679759,1.0,330,3.92,236.92,0.946,0.8462169924168591,0,21,0,1
2,1,1,0,0,38.613861386138616,0.336111,403,6.63,,,0.8462169924168591,1,3,0,0
6,1,1,0,0,32.64604810996563,1.0,290,3.38,,,0.8462169924168591,1,59,0,0
12,7,1,0,0,43.36562454131807,0.365323612244898,27251,17.2,,,0.8462169924168591,1,26,0,0
15,3,1,0,0,35.58378635596764,0.5513249250000001,69348,4.89,,,0.8462169924168591,1,35,1,0
23,5,1,0,0,39.60839373126399,0.1267145782965517,26352,4.84,,,0.8462169924168591,0,21,1,0
23,2,1,0,0,35.65294060020246,0.29428136,30622,3.04,,,0.8462169924168591,0,21,1,0
23,2,1,0,0,35.842794759825324,0.2245771916842105,22899,3.99,,,0.8462169924168591,0,21,1,0
23,3,1,0,0,33.36729023893314,1.0,21595,4.72,,,0.8462169924168591,0,21,1,0
23,5,1,0,0,34.89313471502591,0.6875,43231,6.35,,,0.8462169924168591,0,21,1,0
23,10,1,0,0,35.938440305872724,0.1491841157880495,249253,10.9,,,0.8462169924168591,0,21,1,0
23,7,1,0,0,39.91837272068988,0.2757756068292682,15190,5.08,,,0.8462169924168591,0,37,1,0
5,1,1,1,1,55.49738219895288,1.0,381,6.17,7.95,0.343,0.8417901551181696,1,76,1,1
7,1,1,1,1,43.6,1.0,249,5.93,97.68,0.814,0.8417901551181696,1,105,0,1
19,4,1,1,1,57.67860884139954,0.1533550024999999,4772,18.3,681.35,0.981,0.8417901551181696,1,18,0,1
1,2,1,0,1,40.06211180124223,1.0,643,3.13,,1.0,0.8417901551181696,1,100,1,0
2,4,1,0,0,37.63299462044232,0.8,8364,4.54,,,0.8417901551181696,1,116,0,0
2,2,1,0,0,33.11845286059629,0.75,1240,4.04,,,0.8417901551181696,1,115,0,0
2,1,1,0,0,38.613861386138616,0.336111,403,7.9,,,0.8417901551181696,1,3,0,0
6,3,1,0,0,28.41619125237707,0.4247233166666666,3680,4.98,,,0.8417901551181696,1,103,1,0
6,2,1,0,0,33.384191068599264,1.0,17040,4.82,,,0.8417901551181696,1,103,1,0
7,1,1,0,0,20.0,1.0,219,3.58,,,0.8417901551181696,1,104,1,0
23,3,1,0,0,39.1611999705167,0.4562519285714285,13566,3.7,,,0.8417901551181696,0,21,1,0
23,4,1,0,0,36.73692505377642,0.1320265281493396,140860,9.98,,,0.8417901551181696,0,21,1,0
23,2,1,0,0,35.842794759825324,0.2245771916842105,22899,4.59,,,0.8417901551181696,0,21,1,0
23,20,1,0,0,34.65263344094105,0.1303798470538719,180903,24.8,,,0.8417901551181696,0,21,1,0
23,1,1,0,0,31.85185185185185,1.0,269,2.97,,,0.8417901551181696,0,21,1,0
23,1,1,0,0,27.40740740740741,1.0,269,4.03,,,0.8417901551181696,0,37,1,0
3,1,1,1,1,57.89473684210527,1.0,569,15.0,73.93,0.594,0.8114261748493672,1,38,1,1
10,3,1,1,1,50.25453596136275,0.5645833,7660,46.3,182.9,0.991,0.8114261748493672,1,139,1,1
11,3,1,1,0,48.496630378434425,0.4081018333333334,7715,46.0,542.0,,0.8114261748493672,1,99,0,1
12,1,1,1,1,73.0909090909091,1.0,549,13.4,180.78,0.74,0.8114261748493672,1,5,0,1
1,5,1,0,0,52.030812324929975,0.6666666,4283,5.29,,,0.8114261748493672,1,46,1,0
10,1,1,0,0,40.131578947368425,1.0,303,3.13,,,0.8114261748493672,1,7,0,0
1,3,1,1,1,45.21241470394013,0.3424465695238096,4542,34.5,116.54,1.0,0.8622160363091049,1,100,1,1
9,1,1,1,1,38.04347826086957,1.0,275,20.3,383.02,0.463,0.8622160363091049,1,65,0,1
11,4,1,1,1,46.5482060874001,0.2550624163207546,11761,57.1,870.89,0.993,0.8622160363091049,1,99,0,1
1,8,1,0,0,51.67156608450056,0.4654418882882885,34697,16.4,,,0.8622160363091049,1,124,1,0
1,2,1,0,0,40.27164685908319,1.0,2944,9.24,,,0.8622160363091049,1,23,0,0
2,5,1,0,0,36.846411913918665,0.3485078029729729,12220,12.9,,,0.8622160363091049,1,64,0,0
2,1,1,0,0,38.613861386138616,0.336111,403,4.85,,,0.8622160363091049,1,3,0,0
5,1,1,0,0,34.78260869565217,1.0,275,5.29,,,0.8622160363091049,1,76,0,0
6,2,1,0,0,32.30881281864531,0.70833325,6864,4.8,,,0.8622160363091049,1,103,1,0
7,1,1,0,0,40.11976047904192,1.0,333,6.54,,,0.8622160363091049,1,126,0,0
10,1,1,0,1,29.794520547945208,1.0,291,11.6,,0.148,0.8622160363091049,1,101,1,1
22,1,1,0,0,61.891117478510026,1.0,348,4.67,,,0.8622160363091049,1,70,0,0
1,2,1,1,1,40.06211180124223,1.0,643,13.3,322.97,1.0,0.8902351794738287,1,100,0,0
3,1,1,1,1,40.53030303030303,1.0,263,10.4,111.01,0.954,0.8902351794738287,1,56,0,1
10,8,1,1,1,41.9522996724639,0.5380127799999999,21676,125.0,404.75,1.0,0.8902351794738287,1,101,1,1
17,1,1,1,1,64.51612903225806,1.0,867,6.21,84.54,1.0,0.8902351794738287,1,117,1,0
4,2,1,0,0,34.81526904798405,1.0,6522,8.1,,,0.8902351794738287,1,72,0,0
6,1,1,0,0,29.545454545454547,1.0,219,4.83,,,0.8902351794738287,1,103,1,1
1,1,1,1,1,42.62295081967213,1.0,243,19.8,21.1,0.59,0.8630232845502694,1,42,1,1
